Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,Invierno,Primavera,Verano,Otoño
1983,0.53,0.43,0.41,0.27,0.34,0.23,0.18,0.36,0.37,.17,.30,.17,.31,.33,.46,0.34,0.26,.28
1984,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.19,0.21,.13,.06,-.04,.16,.17,.20,0.21,0.14,.14
1985,0.22,-0.04,0.17,0.12,0.14,0.15,0.04,0.17,0.13,.12,.05,.14,.12,.10,.05,0.15,0.12,.10
1986,0.26,0.37,0.3,0.22,0.21,0.12,0.11,0.16,0.03,.15,.10,.13,.18,.18,.26,0.24,0.13,.09
1987,0.32,0.43,0.18,0.24,0.25,0.35,0.4,0.25,0.35,.33,.29,.46,.32,.29,.29,0.23,0.33,.32
1988,0.56,0.44,0.51,0.42,0.44,0.4,0.33,0.39,0.37,.38,.12,.29,.39,.40,.49,0.46,0.37,.29
1989,0.12,0.3,0.36,0.29,0.18,0.15,0.34,0.33,0.34,.29,.20,.37,.27,.27,.24,0.27,0.28,.28
1990,0.41,0.44,0.8,0.56,0.45,0.37,0.46,0.34,0.23,.45,.46,.40,.45,.45,.41,0.6,0.39,.38
1991,0.43,0.5,0.35,0.51,0.34,0.53,0.47,0.39,0.44,.29,.30,.32,.41,.41,.44,0.4,0.46,.34
1992,0.47,0.4,0.48,0.27,0.31,0.25,0.09,0.08,-0.01,.06,.03,.22,.22,.23,.40,0.36,0.14,.03
1993,0.34,0.37,0.36,0.28,0.28,0.23,0.25,0.11,0.11,.23,.03,.18,.23,.23,.31,0.31,0.19,.12
1994,0.26,0.02,0.29,0.41,0.28,0.43,0.3,0.21,0.31,.42,.44,.39,.31,.30,.15,0.33,0.32,.39
1995,0.52,0.79,0.47,0.47,0.27,0.43,0.45,0.45,0.33,.47,.44,.26,.45,.46,.57,0.4,0.44,.41
1996,0.24,0.46,0.33,0.33,0.27,0.25,0.36,0.48,0.25,.23,.38,.37,.33,.32,.32,0.31,0.37,.29
1997,0.33,0.4,0.52,0.33,0.34,0.54,0.34,0.41,0.52,.61,.64,.59,.47,.45,.37,0.4,0.43,.59
1998,0.58,0.88,0.63,0.63,0.68,0.77,0.66,0.65,0.42,.41,.43,.55,.61,.61,.68,0.65,0.69,.42
1999,0.48,0.64,0.32,0.32,0.26,0.36,0.38,0.31,0.39,.34,.37,.40,.38,.39,.55,0.3,0.35,.36
2000,0.25,0.56,0.55,0.56,0.36,0.4,0.39,0.42,0.39,.26,.30,.28,.39,.40,.40,0.49,0.4,.32
2001,0.45,0.44,0.55,0.5,0.57,0.52,0.59,0.49,0.51,.50,.72,.56,.53,.51,.39,0.54,0.53,.58
2002,0.77,0.78,0.88,0.58,0.64,0.53,0.61,0.53,0.63,.54,.59,.44,.63,.64,.70,0.7,0.56,.59
2003,0.74,0.58,0.6,0.55,0.6,0.48,0.58,0.64,0.62,.72,.53,.75,.62,.59,.59,0.58,0.57,.62
2004,0.58,0.72,0.63,0.61,0.37,0.44,0.26,0.45,0.49,.61,.72,.50,.53,.55,.68,0.54,0.38,.61
2005,0.74,0.6,0.74,0.67,0.63,0.64,0.61,0.6,0.72,.75,.73,.67,.68,.66,.62,0.68,0.62,.73
2006,0.56,0.73,0.63,0.46,0.48,0.66,0.54,0.7,0.66,.70,.74,.79,.64,.63,.65,0.52,0.63,.70
2007,1.01,0.7,0.71,0.76,0.68,0.61,0.59,0.6,0.6,.58,.58,.49,.66,.69,.83,0.72,0.6,.59
2008,0.3,0.38,0.75,0.54,0.5,0.49,0.6,0.46,0.61,.67,.68,.54,.54,.54,.39,0.59,0.52,.65
2009,0.65,0.52,0.53,0.61,0.65,0.64,0.74,0.69,0.71,.65,.79,.67,.65,.64,.57,0.6,0.69,.72
2010,0.75,0.83,0.92,0.85,0.75,0.68,0.63,0.67,0.64,.71,.81,.45,.72,.74,.75,0.84,0.66,.72
2011,0.52,0.48,0.65,0.64,0.53,0.62,0.7,0.75,0.56,.66,.59,.60,.61,.60,.48,0.61,0.69,.60
2012,0.47,0.49,0.57,0.73,0.78,0.64,0.58,0.66,0.72,.80,.78,.53,.65,.65,.52,0.69,0.63,.77
2013,0.71,0.62,0.67,0.53,0.6,0.69,0.6,0.7,0.76,.69,.83,.70,.68,.66,.62,0.6,0.66,.76
2014,0.76,0.55,0.78,0.8,0.86,0.67,0.58,0.83,0.87,.80,.67,.78,.75,.74,.67,0.81,0.69,.78
2015,0.87,0.9,0.96,0.75,0.79,0.81,0.73,0.79,0.84,1.08,1.06,1.17,.89,.86,.85,0.83,0.78,.99
2016,1.18,1.37,1.35,1.09,0.95,0.81,0.84,1.02,0.9,.88,.91,.86,1.01,1.04,1.24,1.13,0.89,.90
2017,1.02,1.13,1.16,0.94,0.91,0.71,0.81,0.87,0.75,.89,.88,.93,.92,.91,1.01,1.0,0.8,.84
2018,0.82,0.85,0.88,0.88,0.81,0.76,0.83,0.78,0.8,1.01,.83,.92,.85,.85,.87,0.86,0.79,.88
2019,0.93,0.94,1.16,1.0,0.86,0.9,0.93,0.95,0.92,.99,.99,1.11,.97,.96,.93,1.01,0.93,.97
2020,1.17,1.24,1.18,1.12,0.99,0.91,0.88,0.86,0.96,.87,1.10,.79,1.01,1.03,1.18,1.1,0.88,.98
2021,0.81,0.64,0.89,0.76,0.79,0.84,0.91,0.81,0.92,.99,.93,.87,.85,.84,.75,0.81,0.85,.94
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.94,0.88,.96,.74,.80,.89,.90,.89,0.9,0.93,.86
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,1.17,1.12,.88,1.05,1.15,1.41
